ten_anh,ground_truth,ung_vien_duoc_chon,dung_bien_so,co_ung_vien_dung,ly_do_chon,nhom_loi
001.jpg,38A27374,38A27374,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.975,Đúng
033.jpg,30F50833,30F50833,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.993,Đúng
034.jpg,30A88459,30A88459,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.988,Đúng
035.jpg,15A00635,15A00635,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
036.jpg,30F07555,30F07555,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,Đúng
037.jpg,30F07555,30F07555,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.994,Đúng
038.jpg,30E12176,30E12176,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,Đúng
039.jpg,29H15079,29H15079,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,Đúng
040.jpg,14A25074,14A25074,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,Đúng
041.jpg,29A25885,29A25885,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.985,Đúng
042.jpg,30F27580,30F27580,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,Đúng
043.jpg,30E34411,30E34411,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,Đúng
044.jpg,30F36253,30F36253,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.991,Đúng
045.jpg,29H37260,29H37260,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 6 lần; OCR tin cậy 0.995,Đúng
046.jpg,30F39361,30F39361,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,Đúng
047.jpg,30E43843,30E43843,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,Đúng
048.jpg,30A48483,30A8483,False,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.992,Có ứng viên đúng nhưng chọn sai
049.jpg,30E66266,30E66266,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,Đúng
050.jpg,30F86404,30F86404,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.986,Đúng
051.jpg,89A10341,89A10341,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,Đúng
052.jpg,89A10868,89A10868,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.991,Đúng
053.jpg,29A09586,29A09586,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
054.jpg,29A33928,29A33928,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.996,Đúng
055.jpg,29A46294,29A46294,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
056.jpg,30F57808,30F57808,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.966,Đúng
057.jpg,30A74491,30A74491,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.916,Đúng
058.jpg,30F77159,30F77159,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,Đúng
059.jpg,89A20061,89A20061,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,Đúng
060.jpg,51A64826,51A64826,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,Đúng
061.jpg,51F79512,51F79512,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
062.jpg,51F04275,51F04275,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.971,Đúng
063.jpg,51F79512,51F79512,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,Đúng
064.jpg,51A05227,51A05227,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,Đúng
065.jpg,51F06948,51F06948,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.986,Đúng
066.jpg,51F24403,51F24403,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,Đúng
067.jpg,51G51332,51G51332,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
068.jpg,51G44313,51G44313,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
069.jpg,51F31118,51F31118,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.985,Đúng
070.jpg,56S4698,56S4698,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.961,Đúng
071.jpg,52Y6490,52Y6490,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,Đúng
072.jpg,68C137520,68C137520,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.953,Đúng
073.jpg,51A01204,51A01204,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,Đúng
074.jpg,51A72110,51A72110,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.990,Đúng
075.jpg,51G43630,51G43630,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.957,Đúng
076.jpg,51F22261,51F22261,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
077.jpg,48A05177,48A05177,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
078.jpg,51G50553,51G50553,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.985,Đúng
079.jpg,51F06532,51F06532,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.983,Đúng
080.jpg,51A05227,51A05227,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.969,Đúng
081.jpg,51F63034,51F63034,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,Đúng
082.jpg,60A03868,60A03868,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.971,Đúng
083.jpg,51G31691,51G31691,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,Đúng
084.jpg,51F82606,51F82606,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.973,Đúng
085.jpg,51F61712,51F61712,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
086.jpg,51A96141,51A96141,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.960,Đúng
087.jpg,51G39466,51G39466,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.957,Đúng
088.jpg,51F59011,51F59011,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.985,Đúng
089.jpg,51A69172,51A69172,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.971,Đúng
090.jpg,51G49160,51G49160,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.916,Đúng
091.jpg,51G49160,51G49160,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 1 lần; OCR tin cậy 0.907,Đúng
092.jpg,51G47340,51G47340,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.926,Đúng
093.jpg,51A77529,51A77529,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.963,Đúng
094.jpg,51F88270,51F88270,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
095.jpg,30E00090,30E00090,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.989,Đúng
096.jpg,29A23950,29A23950,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.968,Đúng
097.jpg,51G48154,51G48154,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
098.jpg,51F58214,51F58214,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,Đúng
099.jpg,51F22261,51F22261,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.984,Đúng
100.jpg,60A35981,60A35981,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,Đúng
101.jpg,51F07973,51F07973,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.925,Đúng
102.jpg,51F15585,51F15585,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.950,Đúng
103.jpg,51G20536,51G20536,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.982,Đúng
104.jpg,50Z0618,50Z0618,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,Đúng
105.jpg,51F07568,51F07568,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.976,Đúng
106.jpg,51F88270,51F88270,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.986,Đúng
107.jpg,51F86988,51F86988,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.981,Đúng
108.jpg,51F15585,51F15585,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.983,Đúng
109.jpg,30V3993,30V3993,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,Đúng
110.jpg,51F31118,51F31118,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.979,Đúng
111.jpg,51A85325,51A85325,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.979,Đúng
112.jpg,51A01204,51A01204,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.962,Đúng
113.jpg,59M190977,59M190977,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.939,Đúng
114.jpg,59E113417,59E113417,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.966,Đúng
115.jpg,63B957926,63B957926,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.936,Đúng
116.jpg,59V107473,59V107473,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.939,Đúng
117.jpg,59C100507,59C100507,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.964,Đúng
118.jpg,84K34900,84K34900,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.881,Đúng
119.jpg,59B135199,59B135199,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.932,Đúng
120.jpg,51L41138,51L41138,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.964,Đúng
121.jpg,59V216023,59V216023,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.943,Đúng
122.jpg,65F131532,65F131532,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.927,Đúng
123.jpg,59F138151,59F138151,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.958,Đúng
124.jpg,59F120158,59F120158,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.946,Đúng
125.jpg,47B142872,47B142872,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.920,Đúng
126.jpg,59G133671,59G133671,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.938,Đúng
127.jpg,82K37689,82K37689,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.900,Đúng
128.jpg,59L184759,59L184759,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.932,Đúng
129.jpg,54T30255,54T30255,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.933,Đúng
130.jpg,54S89169,54S89169,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.909,Đúng
131.jpg,59T161654,59T161654,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.923,Đúng
132.jpg,60B628032,60B628032,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.917,Đúng
133.jpg,59S115133,59S115133,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.921,Đúng
134.jpg,59V243654,59V243654,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.939,Đúng
135.jpg,59L159150,59L159150,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.947,Đúng
136.jpg,59E168785,59E168785,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.920,Đúng
137.jpg,59L194176,59L194176,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.972,Đúng
138.jpg,70B155132,70B155132,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 2 lần; OCR tin cậy 0.934,Đúng
139.jpg,60B325220,60B325220,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.938,Đúng
140.jpg,50N107428,50N107428,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,Đúng
141.jpg,55P62004,55P62004,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,Đúng
142.jpg,81B126810,81B126810,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.896,Đúng
143.jpg,59T138506,59T138506,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.987,Đúng
144.jpg,95P26027,95P26027,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.955,Đúng
145.jpg,51U83423,51U83423,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.970,Đúng
146.jpg,59S110393,59S110393,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.951,Đúng
147.jpg,66L135224,66L135224,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.983,Đúng
148.jpg,69U13670,69U13670,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.935,Đúng
149.jpg,59H167791,59H167791,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,Đúng
150.jpg,78D108469,78D108469,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.909,Đúng
151.jpg,52U62655,52U62655,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.955,Đúng
152.jpg,77L100895,77L100895,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.936,Đúng
153.jpg,59FA00591,59FA00591,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.978,Đúng
154.jpg,54P28057,54P28057,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.970,Đúng
155.jpg,52F33586,52F33586,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,Đúng
156.jpg,59M161406,59M161406,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.909,Đúng
157.jpg,61D112878,61D112878,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.908,Đúng
158.jpg,49L101241,49L101241,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.965,Đúng
159.jpg,59E102993,59E102993,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.977,Đúng
160.jpg,60C135331,60C135331,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.927,Đúng
161.jpg,59H115793,59H115793,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.937,Đúng
162.jpg,59X275198,59X275198,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.932,Đúng
163.jpg,54R30018,54R30018,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.987,Đúng
164.jpg,59D150216,59D150216,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.934,Đúng
165.jpg,54U54316,54U54316,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.942,Đúng
166.jpg,59V204212,59V204212,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.916,Đúng
167.jpg,59K122323,59K122323,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.944,Đúng
168.jpg,59X267951,59X267951,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.931,Đúng
169.jpg,59P171756,59P171756,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,Đúng
170.jpg,59P211073,59P211073,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.900,Đúng
171.jpg,59V244588,59V244588,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 1 lần; OCR tin cậy 0.902,Đúng
172.jpg,50N102654,50N102654,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.973,Đúng
173.jpg,59K196591,59K196591,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.902,Đúng
174.jpg,55P67093,55P67093,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.943,Đúng
175.jpg,59A303615,59A303615,True,True,Hợp cấu trúc=True; sửa 1 ký tự; xuất hiện 3 lần; OCR tin cậy 0.956,Đúng
176.jpg,55P60839,55P60839,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.965,Đúng
177.jpg,59U151595,59U151595,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.930,Đúng
178.jpg,59S231606,59S231606,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.972,Đúng
179.jpg,72T28629,72T28629,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.925,Đúng
180.jpg,59C128740,59C128740,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.931,Đúng
181.jpg,59S223245,59S223245,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.935,Đúng
182.jpg,47K29950,47K29950,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.925,Đúng
183.jpg,50XA5535,50XA5535,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.899,Đúng
184.jpg,59M152576,59M152576,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.916,Đúng
185.jpg,59E158720,59E158720,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 3 lần; OCR tin cậy 0.975,Đúng
186.jpg,59B129117,59B129117,True,True,Hợp cấu trúc=True; sửa 0 ký tự; xuất hiện 2 lần; OCR tin cậy 0.918,Đúng
